Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","46","GC06P044246","1.77487027645111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"FADS3","Fatty Acid Desaturase 3","Protein Coding","37","GC11M061873","1.77437281608582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS3"
"ITGA1","Integrin Subunit Alpha 1","Protein Coding","42","GC05P052788","1.77222764492035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA1"
"RXRB","Retinoid X Receptor Beta","Protein Coding","46","GC06M033193","1.77013802528381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRB"
"CCNA1","Cyclin A1","Protein Coding","42","GC13P036431","1.7700697183609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA1"
"JMJD1C","Jumonji Domain Containing 1C","Protein Coding","40","GC10M063167","1.76987290382385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD1C"
"MIR93","MicroRNA 93","RNA Gene","22","GC07M101184","1.76967453956604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"TFE3","Transcription Factor Binding To IGHM Enhancer 3","Protein Coding","42","GC0XM049028","1.76679253578186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFE3"
"SSRP1","Structure Specific Recognition Protein 1","Protein Coding","40","GC11M081966","1.76490926742554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSRP1"
"GGH","Gamma-Glutamyl Hydrolase","Protein Coding","42","GC08M063015","1.76462543010712","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH"
"NUCKS1","Nuclear Casein Kinase And Cyclin Dependent Kinase Substrate 1","Protein Coding","36","GC01M205712","1.76093518733978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUCKS1"
"CLTC","Clathrin Heavy Chain","Protein Coding","45","GC17P059619","1.76075613498688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTC"
"ADPRH","ADP-Ribosylarginine Hydrolase","Protein Coding","35","GC03P119579","1.75884473323822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADPRH"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","25","GC12M053962","1.75776100158691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"NRXN1","Neurexin 1","Protein Coding","47","GC02M049918","1.75529885292053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN1"
"RUVBL2","RuvB Like AAA ATPase 2","Protein Coding","44","GC19P048993","1.74905407428741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL2"
"IL12B","Interleukin 12B","Protein Coding","43","GC05M159314","1.74793410301208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"PICALM","Phosphatidylinositol Binding Clathrin Assembly Protein","Protein Coding","43","GC11M085957","1.74792289733887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICALM"
"KDM1A","Lysine Demethylase 1A","Protein Coding","46","GC01P023019","1.74736642837524","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM1A"
"DOK3","Docking Protein 3","Protein Coding","37","GC05M177501","1.74351036548615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK3"
"TALDO1","Transaldolase 1","Protein Coding","46","GC11P001458","1.74192047119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TALDO1"
"MIR320A","MicroRNA 320a","RNA Gene","20","GC08M022259","1.74061477184296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","44","GC01P161314","1.74001085758209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"TXNRD1","Thioredoxin Reductase 1","Protein Coding","46","GC12P104215","1.73898220062256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD1"
"NEGR1","Neuronal Growth Regulator 1","Protein Coding","39","GC01M071395","1.73830723762512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEGR1"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","46","GC0XP037780","1.7378785610199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB"
"TICAM1","Toll Like Receptor Adaptor Molecule 1","Protein Coding","43","GC19M004815","1.7371301651001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TICAM1"
"CNDP1","Carnosine Dipeptidase 1","Protein Coding","43","GC18P074534","1.73650324344635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNDP1"
"G3BP1","G3BP Stress Granule Assembly Factor 1","Protein Coding","39","GC05P151771","1.73351645469666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP1"
"MARCHF1","Membrane Associated Ring-CH-Type Finger 1","Protein Coding","27","GC04M163525","1.73333692550659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCHF1"
"SCN9A","Sodium Voltage-Gated Channel Alpha Subunit 9","Protein Coding","48","GC02M166195","1.73153567314148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN9A"
"ATXN7","Ataxin 7","Protein Coding","40","GC03P063864","1.73136878013611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7"
"ANKRD55","Ankyrin Repeat Domain 55","Protein Coding","33","GC05M056099","1.73124516010284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD55"
"GPIHBP1","Glycosylphosphatidylinositol Anchored High Density Lipoprotein Binding Protein 1","Protein Coding","36","GC08P143213","1.73038828372955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPIHBP1"
"CDH2","Cadherin 2","Protein Coding","51","GC18M027950","1.73017013072968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2"
"SLC6A12","Solute Carrier Family 6 Member 12","Protein Coding","42","GC12M000169","1.7297248840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A12"
"ITGAL","Integrin Subunit Alpha L","Protein Coding","45","GC16P030472","1.72852540016174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAL"
"GLRX","Glutaredoxin","Protein Coding","43","GC05M095752","1.72844457626343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX"
"DYRK1A","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1A","Protein Coding","49","GC21P037365","1.72763967514038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1A"
"MGLL","Monoglyceride Lipase","Protein Coding","44","GC03M127689","1.72732865810394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGLL"
"MAP2","Microtubule Associated Protein 2","Protein Coding","42","GC02P209424","1.72520065307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2"
"IL6ST","Interleukin 6 Cytokine Family Signal Transducer","Protein Coding","47","GC05M055935","1.72516703605652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST"
"ZAP70","Zeta Chain Of T Cell Receptor Associated Protein Kinase 70","Protein Coding","50","GC02P097727","1.72456002235413","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZAP70"
"MST1","Macrophage Stimulating 1","Protein Coding","45","GC03M049683","1.7242591381073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1"
"FOXE1","Forkhead Box E1","Protein Coding","42","GC09P097853","1.7226767539978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE1"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","46","GC01M091680","1.72225880622864","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3"
"HTR1D","5-Hydroxytryptamine Receptor 1D","Protein Coding","45","GC01M023191","1.71906018257141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1D"
"PTPRU","Protein Tyrosine Phosphatase Receptor Type U","Protein Coding","42","GC01P029236","1.71617472171783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRU"
"KRT1","Keratin 1","Protein Coding","45","GC12M052674","1.71473479270935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT1"
"GCH1","GTP Cyclohydrolase 1","Protein Coding","46","GC14M054842","1.71470832824707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1"
"CSN3","Casein Kappa","Protein Coding","36","GC04P070242","1.71400630474091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN3"
"AGMO","Alkylglycerol Monooxygenase","Protein Coding","33","GC07M015117","1.71378982067108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGMO"
"PTK7","Protein Tyrosine Kinase 7 (Inactive)","Protein Coding","44","GC06P043076","1.71345412731171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK7"
"KCNE2","Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 2","Protein Coding","41","GC21P034364","1.71329522132874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNE2"
"PIM3","Pim-3 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","38","GC22P049960","1.71171760559082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM3"
"H2BC21","H2B Clustered Histone 21","Protein Coding","32","GC01M150531","1.70958077907562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC21"
"POU2F1","POU Class 2 Homeobox 1","Protein Coding","43","GC01P167190","1.70954918861389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F1"
"TWNK","Twinkle MtDNA Helicase","Protein Coding","33","GC10P100993","1.70702767372131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWNK"
"LPP","LIM Domain Containing Preferred Translocation Partner In Lipoma","Protein Coding","43","GC03P188153","1.7034432888031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPP"
"GIPC1","GIPC PDZ Domain Containing Family Member 1","Protein Coding","42","GC19M014450","1.70134687423706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIPC1"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","52","GC07M148807","1.70097804069519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"FKBP5","FKBP Prolyl Isomerase 5","Protein Coding","44","GC06M059200","1.70026910305023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP5"
"SLC15A1","Solute Carrier Family 15 Member 1","Protein Coding","44","GC13M098683","1.6998838186264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC15A1"
"CPT1B","Carnitine Palmitoyltransferase 1B","Protein Coding","44","GC22M054216","1.69972097873688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT1B"
"SULT2A1","Sulfotransferase Family 2A Member 1","Protein Coding","43","GC19M047870","1.69941961765289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT2A1"
"CD58","CD58 Molecule","Protein Coding","39","GC01M116514","1.69687473773956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD58"
"RPS6KA2","Ribosomal Protein S6 Kinase A2","Protein Coding","45","GC06M166409","1.6965936422348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA2"
"NUMA1","Nuclear Mitotic Apparatus Protein 1","Protein Coding","44","GC11M072002","1.69616866111755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMA1"
"CARS1","Cysteinyl-TRNA Synthetase 1","Protein Coding","33","GC11M003000","1.69261455535889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARS1"
"ATP1A3","ATPase Na+/K+ Transporting Subunit Alpha 3","Protein Coding","47","GC19M041966","1.69136238098145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A3"
"PRTN3","Proteinase 3","Protein Coding","45","GC19P000840","1.69059216976166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"NPFF","Neuropeptide FF-Amide Peptide Precursor","Protein Coding","36","GC12M053516","1.68774342536926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPFF"
"PSMD4","Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 4","Protein Coding","43","GC01P151256","1.68747901916504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD4"
"CELSR2","Cadherin EGF LAG Seven-Pass G-Type Receptor 2","Protein Coding","42","GC01P109250","1.68668079376221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2"
"LY86","Lymphocyte Antigen 86","Protein Coding","38","GC06P006588","1.68637454509735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY86"
"SLC12A1","Solute Carrier Family 12 Member 1","Protein Coding","47","GC15P048191","1.68559598922729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1"
"TERC","Telomerase RNA Component","RNA Gene","28","GC03M169765","1.68528127670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"POLA1","DNA Polymerase Alpha 1, Catalytic Subunit","Protein Coding","44","GC0XP024693","1.68455195426941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA1"
"SQLE","Squalene Epoxidase","Protein Coding","44","GC08P124998","1.68408381938934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQLE"
"DIABLO","Diablo IAP-Binding Mitochondrial Protein","Protein Coding","46","GC12M122208","1.68340063095093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIABLO"
"BAG3","BAG Cochaperone 3","Protein Coding","43","GC10P119651","1.68329310417175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"MUC5AC","Mucin 5AC, Oligomeric Mucus/Gel-Forming","Protein Coding","38","GC11P001485","1.68212175369263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5AC"
"MCM6","Minichromosome Maintenance Complex Component 6","Protein Coding","42","GC02M135839","1.6814478635788","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM6"
"GH2","Growth Hormone 2","Protein Coding","39","GC17M063880","1.68038296699524","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH2"
"MIR199A1","MicroRNA 199a-1","RNA Gene","20","GC19M010817","1.67727863788605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"CTNND2","Catenin Delta 2","Protein Coding","42","GC05M010971","1.67507529258728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNND2"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","45","GC15P031923","1.67475831508636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"TRPM5","Transient Receptor Potential Cation Channel Subfamily M Member 5","Protein Coding","37","GC11M002563","1.67471492290497","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM5"
"AQP9","Aquaporin 9","Protein Coding","42","GC15P058138","1.67399084568024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP9"
"ATP10A","ATPase Phospholipid Transporting 10A (Putative)","Protein Coding","40","GC15M025666","1.67244172096252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP10A"
"BACE2","Beta-Secretase 2","Protein Coding","39","GC21P041168","1.67012643814087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE2"
"ITGAX","Integrin Subunit Alpha X","Protein Coding","44","GC16P038666","1.66774690151215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAX"
"KRT8","Keratin 8","Protein Coding","46","GC12M052897","1.66736280918121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT8"
"LMOD1","Leiomodin 1","Protein Coding","41","GC01M201896","1.66490852832794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD1"
"NME1","NME/NM23 Nucleoside Diphosphate Kinase 1","Protein Coding","44","GC17P051154","1.66264414787292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME1"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","45","GC02M191029","1.66225349903107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"WAS","WASP Actin Nucleation Promoting Factor","Protein Coding","47","GC0XP048676","1.66181898117065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WAS"
"MYCL","MYCL Proto-Oncogene, BHLH Transcription Factor","Protein Coding","37","GC01M039895","1.66107821464539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCL"
"MIR7-3","MicroRNA 7-3","RNA Gene","18","GC19P004770","1.65986382961273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3"
"NYAP2","Neuronal Tyrosine-Phosphorylated Phosphoinositide-3-Kinase Adaptor 2","Protein Coding","32","GC02P225400","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NYAP2"
"RPS15AP30","Ribosomal Protein S15a Pseudogene 30","Pseudogene","10","GC10P112987","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15AP30"
"SNODB807","","RNA Gene","4","GC18M063195","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNODB807"
"HSALNG0080722","","RNA Gene","3","GC10M113004","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSALNG0080722"
"RF00017-2481","","RNA Gene","3","GC18P063178","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RF00017-2481"
"HSALNG0013825","","RNA Gene","2","GC02P027507","1.65891981124878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSALNG0013825"
"PI3","Peptidase Inhibitor 3","Protein Coding","38","GC20P045174","1.65678954124451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI3"
"PROS1","Protein S","Protein Coding","48","GC03M093873","1.65614569187164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROS1"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","50","GC05M180607","1.6533579826355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"GPI","Glucose-6-Phosphate Isomerase","Protein Coding","46","GC19P046361","1.653071641922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI"
"CSNK1E","Casein Kinase 1 Epsilon","Protein Coding","46","GC22M054229","1.65072202682495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1E"
"EDNRB","Endothelin Receptor Type B","Protein Coding","48","GC13M077895","1.6505024433136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRB"
"CPS1","Carbamoyl-Phosphate Synthase 1","Protein Coding","45","GC02P210477","1.6489862203598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1"
"MIR1-1","MicroRNA 1-1","RNA Gene","20","GC20P063192","1.64768743515015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-1"
"SYVN1","Synoviolin 1","Protein Coding","40","GC11M082240","1.64748728275299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYVN1"
"NR2F6","Nuclear Receptor Subfamily 2 Group F Member 6","Protein Coding","40","GC19M017231","1.64710104465485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F6"
"NCL","Nucleolin","Protein Coding","41","GC02M231453","1.64668393135071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCL"
"NCK2","NCK Adaptor Protein 2","Protein Coding","42","GC02P105744","1.64632558822632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCK2"
"CMIP","C-Maf Inducing Protein","Protein Coding","35","GC16P081445","1.6435467004776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMIP"
"AMY1A","Amylase Alpha 1A","Protein Coding","34","GC01P103651","1.64324164390564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1A"
"PDIA6","Protein Disulfide Isomerase Family A Member 6","Protein Coding","39","GC02M010784","1.64319515228271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA6"
"DGKQ","Diacylglycerol Kinase Theta","Protein Coding","41","GC04M000958","1.64146482944489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKQ"
"HYOU1","Hypoxia Up-Regulated 1","Protein Coding","44","GC11M119139","1.63869023323059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYOU1"
"A2M","Alpha-2-Macroglobulin","Protein Coding","44","GC12M009067","1.63730716705322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"CDK6","Cyclin Dependent Kinase 6","Protein Coding","51","GC07M092604","1.63656568527222","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6"
"SNRPD2","Small Nuclear Ribonucleoprotein D2 Polypeptide","Protein Coding","39","GC19M060074","1.6358916759491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD2"
"AHSP","Alpha Hemoglobin Stabilizing Protein","Protein Coding","36","GC16P031527","1.63507974147797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSP"
"RAN","RAN, Member RAS Oncogene Family","Protein Coding","43","GC12P130871","1.63436484336853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAN"
"KLF6","Kruppel Like Factor 6","Protein Coding","42","GC10M003779","1.63283395767212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF6"
"CHRNB2","Cholinergic Receptor Nicotinic Beta 2 Subunit","Protein Coding","45","GC01P154568","1.63257467746735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNB2"
"MYB","MYB Proto-Oncogene, Transcription Factor","Protein Coding","49","GC06P135180","1.63020467758179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYB"
"EDA","Ectodysplasin A","Protein Coding","42","GC0XP069618","1.63010931015015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDA"
"HESX1","HESX Homeobox 1","Protein Coding","38","GC03M057207","1.62882280349731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HESX1"
"ACTG1","Actin Gamma 1","Protein Coding","48","GC17M081509","1.62871336936951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1"
"TM6SF2","Transmembrane 6 Superfamily Member 2","Protein Coding","28","GC19M019264","1.62687003612518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM6SF2"
"GPR55","G Protein-Coupled Receptor 55","Protein Coding","41","GC02M230907","1.62613034248352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR55"
"GNB1","G Protein Subunit Beta 1","Protein Coding","44","GC01M001785","1.62531244754791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1"
"CTRL","Chymotrypsin Like","Protein Coding","39","GC16M067927","1.6252213716507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRL"
"CCR9","C-C Motif Chemokine Receptor 9","Protein Coding","40","GC03P046151","1.62509870529175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9"
"COX10","Cytochrome C Oxidase Assembly Factor Heme A:Farnesyltransferase COX10","Protein Coding","43","GC17P014069","1.62382686138153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX10"
"MUC16","Mucin 16, Cell Surface Associated","Protein Coding","38","GC19M008848","1.62365448474884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC16"
"GABBR1","Gamma-Aminobutyric Acid Type B Receptor Subunit 1","Protein Coding","46","GC06M029555","1.62170100212097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABBR1"
"UBA52","Ubiquitin A-52 Residue Ribosomal Protein Fusion Product 1","Protein Coding","40","GC19P018563","1.62157344818115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA52"
"DEFB1","Defensin Beta 1","Protein Coding","39","GC08M006870","1.62065351009369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB1"
"UBE3A","Ubiquitin Protein Ligase E3A","Protein Coding","46","GC15M025333","1.61872255802155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A"
"RAC2","Rac Family Small GTPase 2","Protein Coding","49","GC22M037227","1.61753308773041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC2"
"RIPK2","Receptor Interacting Serine/Threonine Kinase 2","Protein Coding","45","GC08P089777","1.61707854270935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK2"
"LHCGR","Luteinizing Hormone/Choriogonadotropin Receptor","Protein Coding","46","GC02M048686","1.61601889133453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHCGR"
"NCF1","Neutrophil Cytosolic Factor 1","Protein Coding","46","GC07P074773","1.61474061012268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCF1"
"IL5RA","Interleukin 5 Receptor Subunit Alpha","Protein Coding","45","GC03M003066","1.6125340461731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5RA"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","42","GC01P027170","1.61230289936066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"MCM2","Minichromosome Maintenance Complex Component 2","Protein Coding","46","GC03P127598","1.6094366312027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM2"
"VPS26A","VPS26, Retromer Complex Component A","Protein Coding","38","GC10P069123","1.60656917095184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS26A"
"PRMT1","Protein Arginine Methyltransferase 1","Protein Coding","46","GC19P049675","1.6060643196106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT1"
"RGS1","Regulator Of G Protein Signaling 1","Protein Coding","38","GC01P192575","1.60448050498962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS1"
"DVL2","Dishevelled Segment Polarity Protein 2","Protein Coding","45","GC17M007225","1.60271489620209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL2"
"VPS37D","VPS37D Subunit Of ESCRT-I","Protein Coding","32","GC07P074313","1.60138630867004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS37D"
"PANK1","Pantothenate Kinase 1","Protein Coding","40","GC10M089579","1.60079622268677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK1"
"QPCTL","Glutaminyl-Peptide Cyclotransferase Like","Protein Coding","34","GC19P045692","1.60048007965088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QPCTL"
"TRAFD1","TRAF-Type Zinc Finger Domain Containing 1","Protein Coding","36","GC12P112125","1.60022246837616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAFD1"
"CHRM2","Cholinergic Receptor Muscarinic 2","Protein Coding","48","GC07P136868","1.59828925132751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM2"
"PANK2","Pantothenate Kinase 2","Protein Coding","43","GC20P003887","1.59816646575928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","47","GC17P035514","1.597811460495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"ROCK1","Rho Associated Coiled-Coil Containing Protein Kinase 1","Protein Coding","49","GC18M020946","1.59660887718201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK1"
"RARG","Retinoic Acid Receptor Gamma","Protein Coding","47","GC12M053210","1.59641206264496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARG"
"ALDOA","Aldolase, Fructose-Bisphosphate A","Protein Coding","47","GC16P030064","1.59406161308289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOA"
"HOXA10","Homeobox A10","Protein Coding","41","GC07M027452","1.59366035461426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA10"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","46","GC19P040991","1.59356153011322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"BSG","Basigin (Ok Blood Group)","Protein Coding","43","GC19P000571","1.59244954586029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
